Topic Match Score,Title,Year,Authors,Abstract,Journal,Citation Count,Citation Velocity,DOI,Link,External IDs,Is Open Access,Open Access Link,Semantic Scholar ID,Relevance Summary
14.6,Leveraging GPT-like LLMs to Automate Issue Labeling,2024,"Giuseppe Colavito, ..., and L. Quaranta","Issue labeling is a crucial task for the effective management of software projects. To date, several approaches have been put forth for the automatic assignment of labels to issue reports. In particular, supervised approaches based on the fine-tuning of BERT-like language models have been proposed, achieving state-of-the-art performance. More recently, decoder-only models such as GPT have become prominent in SE research due to their surprising capabilities to achieve state-of-the-art performance even for tasks they have not been trained for. To the best of our knowledge, GPT-like models have not been applied yet to the problem of issue classification, despite the promising results achieved for many other software engineering tasks. In this paper, we investigate to what extent we can leverage GPT-like LLMs to automate the issue labeling task. Our results demonstrate the ability of GPT-like models to correctly classify issue reports in the absence of labeled data that would be required to fine-tune BERT-like LLMs.CCS CONCEPTS• Software and its engineering → Documentation; Software evolution; Maintaining software; • Information systems → Clustering and classification;",2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),8,10.2,10.1145/3643991.3644903,https://doi.org/10.1145/3643991.3644903,"{'DBLP': 'conf/msr/ColavitoLNQ24', 'DOI': '10.1145/3643991.3644903', 'CorpusId': 268246242}",False,,af9d32cbfaf107a018121be41786068c4be4c1ea,
13.9,Preprocessing Text Data for the Doc2Vec Model in the Automatic Classification of Tickets in Support Centers of Software Providers,2024,O. M. Shatalova and A. A. Kuzmin,"Leading software providers typically implement customer technical support functions, which are crucial for promoting and enhancing the competitiveness of their products and services in global markets. The high volume and heterogeneity of support tickets (functional, temporal, linguistic, etc.) highlight the importance of efficient classification systems. Effective classification optimizes the distribution of these tickets among support center specialists and automates their processing using an established knowledge base. However, classifying these tickets is a loosely formalized task. For companies that have accumulated substantial data on customer requests, automating classification through machine learning methods and natural language processing models, such as Word2Vec, FastText, BERT, and GPT, becomes feasible. It is generally accepted that classification effectiveness primarily depends on the model employed. Nevertheless, the quality of these models is significantly influenced by the nature of the training data. Literature review of the reveals significant research interest in methods for the automatic classification of tickets specifically tailored to the operational conditions of software provider support centers. However, there is a noticeable gap in the literature regarding the impact of data preprocessing on the quality of these models. The article aims to clarify the techniques of data preprocessing and analyze their impact on the effectiveness of text classification, considering the specificity of software provider support centers. This study examines the stages of the automatic classification process for tickets, accounting for the unique characteristics of the data (customer text requests). A relevant set of specified methodological and instrumental tools was developed and tested using open data from a global software provider (DevExpress). The testing involved a database of 165,000 tickets. The study's results indicate that preprocessing can improve classification metrics such as F-measure, Precision, and Recall from 77% to 79%. Additionally, preprocessing significantly reduces the dimensionality of text data (by 48.2%) and increases model training speed (by 26.5%) without loss of accuracy, ensuring cost-efficiency and operational efficiency in the use of computational resources.",Intellekt. Sist. Proizv.,0,0.0,10.22213/2410-9304-2024-3-103-112,https://doi.org/10.22213/2410-9304-2024-3-103-112,"{'DOI': '10.22213/2410-9304-2024-3-103-112', 'CorpusId': 273212306}",True,,5001996fb1596fdff06a0752e2a435a0b36390d3,
12.8,Few-Shot Learning for Issue Report Classification,2023,"Giuseppe Colavito, ..., and Nicole Novielli","We describe our participation in the tool competition in the scope of the 2nd International Workshop on Natural Language-based Software Engineering. We propose a supervised approach relying on SETFIT, a framework for few-shot learning and sentence-BERT (SBERT), a variant of BERT for effective sentence embedding. We experimented with different settings, achieving the best performance by training and testing the SETFIT-based model on a subset of data with manually verified labels (Fl-micro $=.8321$). For the sake of the challenge, we evaluate the SETFIT model on the challenge test set, achieving Fl-micro $=.7767$.",2023 IEEE/ACM 2nd International Workshop on Natural Language-Based Software Engineering (NLBSE),11,6.3,10.1109/NLBSE59153.2023.00011,https://doi.org/10.1109/NLBSE59153.2023.00011,"{'DBLP': 'conf/nlbse/ColavitoLN23', 'DOI': '10.1109/NLBSE59153.2023.00011', 'CorpusId': 260172238}",False,,8fe2ae8b5786b46490942c735fa7a06003b94c74,
12.1,Automating Customer Service using LangChain: Building custom open-source GPT Chatbot for organizations,2023,Keivalya Pandya and M. Holia,"In the digital age, the dynamics of customer service are evolving, driven by technological advancements and the integration of Large Language Models (LLMs). This research paper introduces a groundbreaking approach to automating customer service using LangChain, a custom LLM tailored for organizations. The paper explores the obsolescence of traditional customer support techniques, particularly Frequently Asked Questions (FAQs), and proposes a paradigm shift towards responsive, context-aware, and personalized customer interactions. The heart of this innovation lies in the fusion of open-source methodologies, web scraping, fine-tuning, and the seamless integration of LangChain into customer service platforms. This open-source state-of-the-art framework, presented as""Sahaay,""demonstrates the ability to scale across industries and organizations, offering real-time support and query resolution. Key elements of this research encompass data collection via web scraping, the role of embeddings, the utilization of Google's Flan T5 XXL, Base and Small language models for knowledge retrieval, and the integration of the chatbot into customer service platforms. The results section provides insights into their performance and use cases, here particularly within an educational institution. This research heralds a new era in customer service, where technology is harnessed to create efficient, personalized, and responsive interactions. Sahaay, powered by LangChain, redefines the customer-company relationship, elevating customer retention, value extraction, and brand image. As organizations embrace LLMs, customer service becomes a dynamic and customer-centric ecosystem.",ArXiv,47,36.1,10.48550/arXiv.2310.05421,https://doi.org/10.48550/arXiv.2310.05421,"{'DBLP': 'journals/corr/abs-2310-05421', 'ArXiv': '2310.05421', 'DOI': '10.48550/arXiv.2310.05421', 'CorpusId': 263830717}",True,"{'url': 'https://arxiv.org/pdf/2310.05421', 'status': 'CLOSED'}",78a48c296267ae59b4be60ebbbf96b5d7f6c693b,
11.8,Classifying the Unstructured IT Service Desk Tickets Using Ensemble of Classifiers,2018,"Paramesh S.P., ..., and Shreedhara K.S.","Manual classification of IT service desk tickets may result in routing of the tickets to the wrong resolution group. Incorrect assignment of IT service desk tickets leads to reassignment of tickets, unnecessary resource utilization and delays the resolution time. Traditional machine learning algorithms can be used to automatically classify the IT service desk tickets. Service desk ticket classifier models can be trained by mining the historical unstructured ticket description and the corresponding label. The model can then be used to classify the new service desk ticket based on the ticket description. The performance of the traditional classifier systems can be further improved by using various ensemble of classification techniques. This paper brings out the three most popular ensemble methods ie, Bagging, Boosting and Voting ensemble for combining the predictions from different models to further improve the accuracy of the ticket classifier system. The performance of the ensemble classifier system is checked against the individual base classifiers using various performance metrics. Ensemble of classifiers performed well in comparison with the corresponding base classifiers. The advantages of building such an automated ticket classifier systems are simplified user interface, faster resolution time, improved productivity, customer satisfaction and growth in business. The real world service desk ticket data from a large enterprise IT infrastructure is used for our research purpose.",2018 3rd International Conference on Computational Systems and Information Technology for Sustainable Solutions (CSITSS),16,2.6,10.1109/CSITSS.2018.8768734,https://doi.org/10.1109/CSITSS.2018.8768734,"{'MAG': '2965192790', 'DBLP': 'journals/corr/abs-2103-15822', 'ArXiv': '2103.15822', 'DOI': '10.1109/CSITSS.2018.8768734', 'CorpusId': 198931966}",True,"{'url': 'https://arxiv.org/pdf/2103.15822', 'status': 'GREEN'}",0703dc5bc5dc31df06955bbc4999159adbf4a8c5,
11.2,Ticket automation: An insight into current research with applications to multi-level classification scenarios,2023,"A. Zangari, ..., and A. Albarelli",,Expert Syst. Appl.,7,3.8,10.1016/j.eswa.2023.119984,https://doi.org/10.1016/j.eswa.2023.119984,"{'DBLP': 'journals/eswa/ZangariMSGA23', 'DOI': '10.1016/j.eswa.2023.119984', 'CorpusId': 258013230}",True,,2b8d28149a43b9659a6da2c56014ec4206a912b4,
10.5,An Intelligent Framework for Issue Ticketing System Based on Machine Learning,2018,"Ruanda Qamili, ..., and Johannes Schneider","Due to the rapid shift of companies towards superb customer experience and satisfaction, ticketing systems have come into a prominence and represent a strategic element in business competitiveness. Different software companies have developed very effective software tools for issue tracking, nevertheless, some sub-processes and tasks within the ticketing systems are still performed manually. These manually performed tasks represent bottlenecks, especially at large organizations they result in declined productivity and increased response time. Advancements in machine learning can be used in a novel way in which they are combined with the traditional issue tracking and ticketing systems on the market, to enable optimal operational efficiency in the Customer Service and Support(CSS) Department of large-scale businesses that deal with customer reports. This paper proposes an integrated approach to customer support by treating three seemingly different bottlenecks in the ticketing system: spam detection, ticket assignment and sentiment analysis. We use primary data to implement and apply the proposed machine learning approach. The evaluation shows promising results in terms of accuracy and efficiency of our approach.",2018 IEEE 22nd International Enterprise Distributed Object Computing Workshop (EDOCW),6,0.9,10.1109/EDOCW.2018.00022,https://doi.org/10.1109/EDOCW.2018.00022,"{'MAG': '2901499332', 'DBLP': 'conf/edoc/QamiliSS18', 'DOI': '10.1109/EDOCW.2018.00022', 'CorpusId': 53436828}",True,"{'url': 'https://arodes.hes-so.ch/record/4156/files/Author%20postprint.pdf', 'status': 'GREEN'}",211d6c781bf23d72b55feb6674612586d75728c1,
10.2,THE AUTOMATED MACHINE LEARNING CLASSIFICATION APPROACH ON TELCO TROUBLE TICKET DATASET,2021,"Fauzy Che, ..., and Choo-Yee Ting","This paper presents automated machine learning for solving a practical problem of a telco trouble ticket system. In particular, the paper's focus is on the classification of early resolution code from the trouble ticket dataset. The number of trouble tickets is rising every year due to the new challenges from the digital world. It is a challenging job to evaluate the vast content of the trouble tickets manually. Past trouble ticket contains essential information about the root cause and the resolution to each problem. The main contribution of providing the early resolution code for each new trouble ticket can significantly reduce Mean Time to Restore (MTTR) for the telco operation, thus improves customer satisfaction and minimize telco business and operation costs. The research methods include the existing traditional model and its modification towards the best accuracy. Automated Predictive Engine (AutoPE) improves the current traditional engineered model's classification accuracy from 5% to 38% when using the optimal performing solution by implementing AutoML and Grid Search. This solution uses multiple classifiers such as Random Forest, Deep Learning, Gradient Boosting, XGBoost, and Extremely Randomized Trees classifiers on a set of features based on various telco serviceable broadband zones and sampling size. Finally, compared to the baseline existing traditional engineered model, the best performing solution also improves the quality of classification for the early resolution code for the telco trouble tickets dataset.",Journal Not Provided,4,1.0,,https://www.semanticscholar.org/paper/d7d185da8e12bcd2e50924001cc4555a16579018,{'CorpusId': 248096571},False,,d7d185da8e12bcd2e50924001cc4555a16579018,
9.5,Language Models as Knowledge Bases?,2019,"F. Petroni, ..., and Sebastian Riedel","Recent progress in pretraining language models on large textual corpora led to a surge of improvements for downstream NLP tasks. Whilst learning linguistic knowledge, these models may also be storing relational knowledge present in the training data, and may be able to answer queries structured as “fill-in-the-blank” cloze statements. Language models have many advantages over structured knowledge bases: they require no schema engineering, allow practitioners to query about an open class of relations, are easy to extend to more data, and require no human supervision to train. We present an in-depth analysis of the relational knowledge already present (without fine-tuning) in a wide range of state-of-the-art pretrained language models. We find that (i) without fine-tuning, BERT contains relational knowledge competitive with traditional NLP methods that have some access to oracle knowledge, (ii) BERT also does remarkably well on open-domain question answering against a supervised baseline, and (iii) certain types of factual knowledge are learned much more readily than others by standard language model pretraining approaches. The surprisingly strong ability of these models to recall factual knowledge without any fine-tuning demonstrates their potential as unsupervised open-domain QA systems. The code to reproduce our analysis is available at https://github.com/facebookresearch/LAMA.",ArXiv,2416,446.8,10.18653/v1/D19-1250,https://doi.org/10.18653/v1/D19-1250,"{'DBLP': 'journals/corr/abs-1909-01066', 'MAG': '2996758945', 'ArXiv': '1909.01066', 'ACL': 'D19-1250', 'DOI': '10.18653/v1/D19-1250', 'CorpusId': 202539551}",True,"{'url': 'https://www.aclweb.org/anthology/D19-1250.pdf', 'status': 'HYBRID'}",d0086b86103a620a86bc918746df0aa642e2a8a3,
9.3,Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,2019,Nils Reimers and Iryna Gurevych,"BERT (Devlin et al., 2018) and RoBERTa (Liu et al., 2019) has set a new state-of-the-art performance on sentence-pair regression tasks like semantic textual similarity (STS). However, it requires that both sentences are fed into the network, which causes a massive computational overhead: Finding the most similar pair in a collection of 10,000 sentences requires about 50 million inference computations (~65 hours) with BERT. The construction of BERT makes it unsuitable for semantic similarity search as well as for unsupervised tasks like clustering. In this publication, we present Sentence-BERT (SBERT), a modification of the pretrained BERT network that use siamese and triplet network structures to derive semantically meaningful sentence embeddings that can be compared using cosine-similarity. This reduces the effort for finding the most similar pair from 65 hours with BERT / RoBERTa to about 5 seconds with SBERT, while maintaining the accuracy from BERT. We evaluate SBERT and SRoBERTa on common STS tasks and transfer learning tasks, where it outperforms other state-of-the-art sentence embeddings methods.",Conference on Empirical Methods in Natural Language Processing,10304,1888.4,10.18653/v1/D19-1410,https://doi.org/10.18653/v1/D19-1410,"{'DBLP': 'journals/corr/abs-1908-10084', 'ACL': 'D19-1410', 'ArXiv': '1908.10084', 'MAG': '2971193649', 'DOI': '10.18653/v1/D19-1410', 'CorpusId': 201646309}",True,"{'url': 'https://www.aclweb.org/anthology/D19-1410.pdf', 'status': 'HYBRID'}",93d63ec754f29fa22572615320afe0521f7ec66d,
9.1,Optimization Techniques for Sentiment Analysis Based on LLM (GPT-3),2024,"Tong Zhan, ..., and Yiyu Lin","With the rapid development of natural language processing (NLP) technology, large-scale pre-trained language models such as GPT-3 have become a popular research object in NLP field. This paper aims to explore sentiment analysis optimization techniques based on large pre-trained language models such as GPT-3 to improve model performance and effect and further promote the development of natural language processing (NLP). By introducing the importance of sentiment analysis and the limitations of traditional methods, GPT-3 and Fine-tuning techniques are introduced in this paper, and their applications in sentiment analysis are explained in detail. The experimental results show that the Fine-tuning technique can optimize GPT-3 model and obtain good performance in sentiment analysis task. This study provides an important reference for future sentiment analysis using large-scale language models.",ArXiv,8,11.4,10.54254/2755-2721/67/2024ma0060,https://doi.org/10.54254/2755-2721/67/2024ma0060,"{'ArXiv': '2405.09770', 'DBLP': 'journals/corr/abs-2405-09770', 'DOI': '10.54254/2755-2721/67/2024ma0060', 'CorpusId': 269791171}",True,"{'url': 'https://www.ewadirect.com/proceedings/ace/article/view/13206/pdf', 'status': 'HYBRID'}",6ca961736ea1fa1fb92a895ee9890a49473f921b,
